,Team,Actual_Codes,Updated_Codes
1,Atlanta Hawks,ATL,ATL
2,Boston Celtics,BOS,BOS
3,Chicago Bulls,CHI,CHI
4,Cleveland Cavaliers,CLE,CLE
5,Denver Nuggets,DEN,DEN
6,Detroit Pistons,DET,DET
7,Golden State Warriors,GSW,GSW
8,Houston Rockets,HOU,HOU
9,Indiana Pacers,IND,IND
10,Kansas City Kings,KCK,SAC
11,League Average,L,L
12,Los Angeles Lakers,LAL,LAL
13,Milwaukee Bucks,MIL,MIL
14,New Jersey Nets,NJN,BRK
15,New York Knicks,NYK,NYK
16,Philadelphia 76ers,PHI,PHI
17,Phoenix Suns,PHO,PHO
18,Portland Trail Blazers,POR,POR
19,San Antonio Spurs,SAS,SAS
20,San Diego Clippers,SDC,LAC
21,Seattle SuperSonics,SEA,OKC
22,Utah Jazz,UTA,UTA
23,Washington Bullets,WSB,WAS
24,Dallas Mavericks,DAL,DAL
25,Los Angeles Clippers,LAC,LAC
26,Sacramento Kings,SAC,SAC
27,Charlotte Hornets,CHO,CHO
28,Miami Heat,MIA,MIA
29,Minnesota Timberwolves,MIN,MIN
30,Orlando Magic,ORL,ORL
31,Toronto Raptors,TOR,TOR
32,Vancouver Grizzlies,VAN,MEM
33,Washington Wizards,WAS,WAS
34,Memphis Grizzlies,MEM,MEM
35,New Orleans Hornets,NOH,NOP
36,Charlotte Bobcats,CHA,CHO
37,New Orleans/Oklahoma City Hornets,NOK,NOP
38,Oklahoma City Thunder,OKC,OKC
39,Brooklyn Nets,BRK,BRK
40,New Orleans Pelicans,NOP,NOP